area,bedroom_num,bathroom_num,price,dev_name,floor_count,floor_num,furnishing,locality,poster_name,project,id
850,1,1,60000,,6.0,5.0,Semi-Furnished,Bandra West,Ajay  Kapur,Super Star Apartment,2074068
600,1,1,35000,,8.0,4.0,Semi-Furnished,Bandra West,Khan,,3038651
550,1,1,60000,,7.0,5.0,Furnished,Bandra West,Ajay  Kapur,,6732243
600,1,1,60000,,8.0,7.0,Furnished,Bandra West,Ajay  Kapur,Reclamation,7033088
600,1,1,55000,KN Builders,4.0,1.0,Semi-Furnished,Bandra West,Ajay  Kapur,Ajanta Apartment,8273224
500,1,1,60000,,6.0,1.0,Furnished,Bandra West,Ajay  Kapur,,8273483
500,1,1,55000,,10.0,7.0,Semi-Furnished,Bandra West,Ajay  Kapur,,8273590
500,1,1,100000,,8.0,5.0,Semi-Furnished,Breach Candy,Ajay  Kapur,,8276871
600,1,1,55000,,8.0,4.0,Semi-Furnished,Bandra West,Ajay  Kapur,,8382676
750,1,1,55000,,8.0,4.0,Semi-Furnished,Bandra West,Ajay  Kapur,,8382701
620,1,2,25000,,7.0,4.0,Furnished,Chembur,Priji,,8729525
700,1,1,45000,,9.0,7.0,Furnished,Bandra West,Idris Khatri,Little Flower Apartment,9848235
700,1,1,45000,,10.0,7.0,Unfurnished,Dadar West,Vikram Garud,,9864573
750,1,1,40000,,9.0,5.0,Furnished,Bandra West,Idris Khatri,,9944693
500,1,1,55000,Nilesh Construction,4.0,3.0,Furnished,Bandra West,Ajay  Kapur,Dharam Jyot Apartment,10422045
600,1,1,50000,,4.0,3.0,Semi-Furnished,Santacruz West,Ajay  Kapur,,10674088
680,1,1,27000,,7.0,5.0,Semi-Furnished,Chembur,Sanjay Acharya,,10705026
630,1,2,28500,,7.0,5.0,Semi-Furnished,Chembur,Sanjay Acharya,,10806568
450,1,1,30000,,4.0,1.0,Semi-Furnished,Andheri East,Amar Dass,,11223881
532,1,1,28000,Cooperative Group Housing Society,7.0,2.0,Unfurnished,Andheri East,Sushant,Greenfields CHS,11540000
671,1,1,50000,,21.0,11.0,Semi-Furnished,Mahim,Arun S,,11618412
600,1,1,20000,,13.0,8.0,Semi-Furnished,Malad West,Bhavana,,11620196
535,1,1,5500,,,2.0,Unfurnished,,Ganesh Shete,,11653298
600,1,1,45000,,6.0,1.0,Furnished,Worli,Vijay,,11680496
650,1,1,60000,,3.0,1.0,Furnished,Worli,Vijay,,11711982
800,1,1,65000,,19.0,3.0,Furnished,Worli,Vijay,,11815713
700,1,1,40000,,15.0,10.0,Furnished,Worli,Vijay,,11827295
400,1,1,30000,,,,Furnished,Tilak Nagar – Central Line,Samresh,,11893306
225,1,1,7500,,,,Unfurnished,Malad West,sachin sachin,,11920168
560,1,1,40000,,4.0,0.0,Furnished,Santacruz West,Ritesh Lanjewar,,12018724
